"Źródło / Funkcjonalność","Kryterium","Szczegóły","Wartość procentowa (%)","Obliczona liczba punktów"
"Funkcjonalny","Zarządzanie użytkownikami i autentykacja","Rejestracja, logowanie przez e-mail lub konta społecznościowe, zarządzanie profilem użytkownika, resetowanie hasła oraz definiowanie ról i uprawnień","6","1.80"
"Funkcjonalny","Tworzenie i edycja quizów","Tworzenie, edycja i usuwanie quizów, definiowanie tytułu, opisu, kategorii, poziomu trudności, czasu trwania oraz ustawień prywatności i dostępności","6","1.80"
"Funkcjonalny","Zarządzanie pytaniami","Dodawanie, edycja i usuwanie różnych typów pytań (jednokrotny wybór, wielokrotny wybór, prawda/fałsz, pytania otwarte), definiowanie poprawnych odpowiedzi, punktacji i podpowiedzi","7","2.10"
"Funkcjonalny","Wyszukiwanie i przeglądanie quizów","Przeszukiwanie bazy quizów według kategorii, poziomu trudności, popularności, języka i słów kluczowych, z filtrowaniem i sortowaniem wyników oraz paginacją","6","1.80"
"Funkcjonalny","Rozwiązywanie quizów","Rozpoczynanie quizu, zapisywanie odpowiedzi, wstrzymywanie i kontynuowanie sesji, automatyczne sprawdzanie odpowiedzi oraz prezentacja wyników po zakończeniu","7","2.10"
"Funkcjonalny","System punktacji i osiągnięć","Przyznawanie punktów za poprawne odpowiedzi, śledzenie postępów użytkownika, tworzenie i aktualizacja rankingów (globalnych, tygodniowych, tematycznych) oraz odznaki za osiągnięcia","6","1.80"
"Funkcjonalny","Zarządzanie kategoriami i tagami","Tworzenie, edycja i usuwanie kategorii oraz tagów dla quizów, z możliwością hierarchicznej organizacji kategorii i filtrowania quizów według przypisanych tagów","4","1.20"
"Funkcjonalny","Statystyki i analiza wyników","Generowanie i prezentacja statystyk dla użytkowników (historia rozwiązanych quizów, postępy, mocne i słabe strony) oraz dla twórców quizów (popularność, średnie wyniki, poziom trudności pytań)","4","1.20"
"Funkcjonalny","Społeczność i współpraca","Udostępnianie quizów innym użytkownikom, tworzenie grup użytkowników z różnymi poziomami dostępu, zapraszanie do rozwiązywania quizów oraz komentowanie i ocenianie quizów","4","1.20"
"Wymagania techniczne Bazy danych II","Konfiguracja Routingu i Podstawowych Middleware w Express.js","","4","1.20"
"Wymagania techniczne Bazy danych II","Implementacja Centralnej Obsługi Błędów w Express.js","","4","1.20"
"Wymagania techniczne Bazy danych II","Definicja Zakresu i Odpowiedzialności Pojedynczego Mikroserwisu","","3","0.90"
"Wymagania techniczne Bazy danych II","Definicja Zapytań REST API Między Mikroserwisami","","4","1.20"
"Wymagania techniczne Bazy danych II","Połączenie, ORM i Migracje Relacyjnej Bazy Danych","","4","1.20"
"Wymagania techniczne Bazy danych II","Implementacja Zapytań Relacyjnych (Złączenia / Joins, Transakcje) i Optymalizacja (Indeksy)","","5","1.50"
"Wymagania techniczne Bazy danych II","Integracja z MongoDB: Modelowanie i Schematy (Mongoose)","","4","1.20"
"Wymagania techniczne Bazy danych II","Zaawansowane Operacje MongoDB (Agregacje, Indeksy, GeoJSON)","","5","1.50"
"Wymagania techniczne Bazy danych II","Implementacja Uwierzytelniania (np. JWT) i Autoryzacji (np. RBAC)","","4","1.20"
"Wymagania techniczne Bazy danych II","Podstawowe Zabezpieczenia Aplikacji (Helmet, Rate Limit, Bcrypt)","","3","0.90"
"Wymagania techniczne Bazy danych II","Walidacja Danych Wejściowych (np. express-validator, Joi)","","3","0.90"
"Wymagania techniczne Bazy danych II","Implementacja Testów Jednostkowych i Integracyjnych","","7","2.10"
"Wymagania dodatkowe Bazy danych II","Zaawansowane Standardy Jakości Kodu i Statyczna Analiza","Konfiguracja i wymuszanie użycia narzędzi do statycznej analizy kodu (np. ESLint z odpowiednimi pluginami), kontroli złożoności cyklomatycznej oraz spójnego formatowania kodu (np. Prettier).","3","0.90"
"Wymagania dodatkowe Bazy danych II","Automatyczne Raportowanie Błędów Aplikacji","Integracja aplikacji z zewnętrznym systemem do automatycznego zbierania, agregowania i powiadamiania o błędach występujących w aplikacji (np. Sentry, Bugsnag).","3","0.90"
"Wymagania dodatkowe Bazy danych II","Zaawansowane Techniki Indeksowania Baz Danych","Zastosowanie zaawansowanych technik indeksowania (np. indeksy częściowe, indeksy na wyrażeniach, indeksy dla wyszukiwania pełnotekstowego) w celu optymalizacji specyficznych zapytań.","4","1.20"
"Wymagania dodatkowe Bazy danych II","Strategia Tworzenia Kopii Zapasowych (Backup) i Odzyskiwania Bazy Danych","Opracowanie, wdrożenie i przetestowanie procedur regularnego tworzenia kopii zapasowych baz danych oraz ich odzyskiwania w przypadku awarii.","4","1.20"
"Wymagania dodatkowe Bazy danych II","Optymalizacja i Tuning Puli Połączeń Bazodanowych","Analiza i dostosowanie parametrów puli połączeń do baz danych (np. minimalna/maksymalna liczba połączeń, timeouty) w celu optymalizacji wydajności pod oczekiwanym obciążeniem.","3","0.90"
"Wymagania dodatkowe Bazy danych II","Budowa Potoku CI/CD dla Niezależnego Wdrażania Mikroserwisów","Zaprojektowanie i implementacja potoku CI/CD umożliwiającego automatyczne budowanie, testowanie i niezależne wdrażanie poszczególnych mikroserwisów.","4","1.20"
"Wymagania dodatkowe Bazy danych II","Optymalizacja i Zabezpieczanie Obrazów Kontenerów (Docker)","Stworzenie zoptymalizowanych i bezpiecznych obrazów kontenerów Docker dla każdej usługi, minimalizacja rozmiaru i powierzchni ataku.","2","0.60"
"Wymagania dodatkowe Bazy danych II","Automatyzacja Testów w Potoku CI/CD","Integracja różnych poziomów testów (jednostkowych, integracyjnych, kontraktowych) z potokiem CI/CD jako automatyczne bramki jakości.","2","0.60"